Date,Adj Close,Close,High,Low,Open,Volume
2018-01-02,2695.81005859375,2695.81005859375,2695.889892578125,2682.360107421875,2683.72998046875,3367250000
2018-01-03,2713.06005859375,2713.06005859375,2714.3701171875,2697.77001953125,2697.85009765625,3538660000
2018-01-04,2723.989990234375,2723.989990234375,2729.2900390625,2719.070068359375,2719.31005859375,3695260000
2018-01-05,2743.14990234375,2743.14990234375,2743.449951171875,2727.919921875,2731.330078125,3236620000
2018-01-08,2747.7099609375,2747.7099609375,2748.510009765625,2737.60009765625,2742.669921875,3242650000
2018-01-09,2751.2900390625,2751.2900390625,2759.139892578125,2747.860107421875,2751.14990234375,3453480000
2018-01-10,2748.22998046875,2748.22998046875,2750.800048828125,2736.06005859375,2745.550048828125,3576350000
2018-01-11,2767.56005859375,2767.56005859375,2767.56005859375,2752.780029296875,2752.969970703125,3641320000
2018-01-12,2786.239990234375,2786.239990234375,2787.85009765625,2769.639892578125,2770.179931640625,3573970000
2018-01-16,2776.419921875,2776.419921875,2807.5400390625,2768.639892578125,2798.9599609375,4325970000
2018-01-17,2802.56005859375,2802.56005859375,2807.0400390625,2778.3798828125,2784.989990234375,3778050000
2018-01-18,2798.030029296875,2798.030029296875,2805.830078125,2792.56005859375,2802.39990234375,3681470000
2018-01-19,2810.300048828125,2810.300048828125,2810.330078125,2798.080078125,2802.60009765625,3639430000
2018-01-22,2832.969970703125,2832.969970703125,2833.030029296875,2808.1201171875,2809.159912109375,3471780000
2018-01-23,2839.1298828125,2839.1298828125,2842.239990234375,2830.590087890625,2835.050048828125,3519650000
2018-01-24,2837.5400390625,2837.5400390625,2852.969970703125,2824.81005859375,2845.419921875,4014070000
2018-01-25,2839.25,2839.25,2848.56005859375,2830.93994140625,2846.239990234375,3835150000
2018-01-26,2872.8701171875,2872.8701171875,2872.8701171875,2846.179931640625,2847.47998046875,3443230000
2018-01-29,2853.530029296875,2853.530029296875,2870.6201171875,2851.47998046875,2867.22998046875,3573830000
2018-01-30,2822.429931640625,2822.429931640625,2837.75,2818.27001953125,2832.739990234375,3990650000
2018-01-31,2823.81005859375,2823.81005859375,2839.260009765625,2813.0400390625,2832.409912109375,4261280000
2018-02-01,2821.97998046875,2821.97998046875,2835.9599609375,2812.699951171875,2816.449951171875,3938450000
2018-02-02,2762.1298828125,2762.1298828125,2808.919921875,2759.969970703125,2808.919921875,4301130000
2018-02-05,2648.93994140625,2648.93994140625,2763.389892578125,2638.169921875,2741.06005859375,5283460000
2018-02-06,2695.139892578125,2695.139892578125,2701.0400390625,2593.070068359375,2614.780029296875,5891660000
